"Loc" "Lat" "Lon"
1155 40.9416389465332 -120.250099182129
1156 41.225700378418 -120.31770324707
1157 41.5099105834961 -120.386100769043
1158 41.7942695617676 -120.455101013184
1159 42.0787696838379 -120.524803161621
1160 42.3633995056152 -120.59529876709
1161 42.6481590270996 -120.666496276855
1162 42.9330406188965 -120.738403320312
1163 43.2180290222168 -120.811096191406
1164 43.5031394958496 -120.884498596191
1165 43.7883415222168 -120.958702087402
1166 44.0736312866211 -121.033798217773
1167 44.359001159668 -121.109596252441
1168 44.6444511413574 -121.18620300293
1169 44.9299812316895 -121.263603210449
1170 45.2155609130859 -121.341903686523
1171 45.5012092590332 -121.421096801758
1172 45.7868881225586 -121.501098632812
1173 46.0726203918457 -121.582000732422
1174 46.3583908081055 -121.663696289062
1175 46.6441688537598 -121.746398925781
1176 46.9299812316895 -121.830101013184
1177 47.2157897949219 -121.914596557617
1178 47.5016098022461 -122.000099182129
1179 47.7874183654785 -122.086601257324
1180 48.0732192993164 -122.174102783203
1181 48.3589897155762 -122.262603759766
1182 48.6447296142578 -122.352096557617
1183 48.9304389953613 -122.44270324707
1231 34.2304801940918 -118.472099304199
1232 34.5092315673828 -118.524398803711
1233 34.7882995605469 -118.577201843262
1234 35.0676498413086 -118.630500793457
1235 35.3472900390625 -118.684303283691
1236 35.6272087097168 -118.73860168457
1237 35.9074096679688 -118.793403625488
1238 36.1878814697266 -118.848602294922
1239 36.468620300293 -118.904403686523
1240 36.7496109008789 -118.960800170898
1241 37.0308609008789 -119.017601013184
1242 37.3123588562012 -119.074996948242
1243 37.5941009521484 -119.133003234863
1244 37.8760795593262 -119.191497802734
1245 38.1582908630371 -119.250503540039
1246 38.440731048584 -119.310096740723
1247 38.7233810424805 -119.370300292969
1248 39.0062484741211 -119.431098937988
1249 39.2893295288086 -119.492500305176
1250 39.5726089477539 -119.554496765137
1251 39.856071472168 -119.61710357666
1252 40.1397285461426 -119.680297851562
1253 40.4235687255859 -119.744201660156
1254 40.7075805664062 -119.808700561523
1255 40.991771697998 -119.873802185059
1256 41.2761192321777 -119.939598083496
1257 41.560619354248 -120.006103515625
1258 41.8452682495117 -120.073196411133
1259 42.130069732666 -120.141098022461
1260 42.4150009155273 -120.209602355957
1261 42.7000617980957 -120.278900146484
1262 42.9852409362793 -120.348899841309
1263 43.2705307006836 -120.41960144043
1264 43.5559387207031 -120.490997314453
1265 43.8414497375488 -120.563201904297
1266 44.1270408630371 -120.636199951172
1267 44.4127311706543 -120.709999084473
1268 44.6984901428223 -120.78450012207
1269 44.9843292236328 -120.859901428223
1270 45.2702407836914 -120.936096191406
1271 45.5561981201172 -121.01309967041
1272 45.8422088623047 -121.090896606445
1273 46.1282615661621 -121.16960144043
1274 46.4143486022949 -121.249198913574
1275 46.7004699707031 -121.329696655273
1276 46.9865989685059 -121.411102294922
1277 47.2727508544922 -121.49340057373
1278 47.5588989257812 -121.576599121094
1279 47.8450508117676 -121.660797119141
